Run,P0,P1,P2,P3,Q,S,P_reject,K,total_requests,processed,rejected
1,0.001007,0.023226,0.214632,0.761134,0.391329,0.782222,0.608671,2.735893,7196,2816,4380
2,0.000939,0.023425,0.214511,0.761125,0.386810,0.772222,0.613190,2.735822,7187,2780,4407
3,0.000994,0.024053,0.214622,0.760331,0.392127,0.783056,0.607873,2.734290,7189,2819,4370
4,0.001085,0.023691,0.211724,0.763500,0.388041,0.776944,0.611959,2.737638,7208,2797,4411
5,0.000574,0.022533,0.216302,0.760590,0.392738,0.787222,0.607262,2.736909,7216,2834,4382
6,0.000419,0.023669,0.210961,0.764952,0.384243,0.772222,0.615757,2.740445,7235,2780,4455
7,0.000786,0.023752,0.220632,0.754831,0.396019,0.790278,0.603981,2.729508,7184,2845,4339
8,0.000927,0.024230,0.218629,0.756213,0.397554,0.794444,0.602446,2.730128,7194,2860,4334
9,0.000573,0.022735,0.214390,0.762302,0.392391,0.785000,0.607609,2.738420,7202,2826,4376
10,0.000696,0.023530,0.214332,0.761442,0.388116,0.774722,0.611884,2.736519,7186,2789,4397
